"area","area_code","category","flow_score","traffic_score","consumer_score","dead_time","dead_gap","dead_gap_count","dead_gap_score","active_time_count","inactive_time","incomplete_time","analysis_available","analysis_status","twin_name","similarity","twin_conversion","similarity_definition"
"중앙고등학교",3110018,"커피-음료",25.449101796407188,25.61863173216885,25.449101796407188,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","성곡미술관",86.77956586826348,49.8502994011976,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"창덕궁",3110019,"한식음식점",10.233592880978867,40.08810572687225,10.233592880978867,"11~14",98.32775919732441,2828.279798896064,98.32775919732441,4,"06~11","",TRUE,"분석 가능","신구중학교",92.16490545050056,82.75862068965517,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"창덕궁",3110019,"호프-간이주점",59.318637274549104,24.07766990291262,59.318637274549104,"21~24",99.39516129032258,218.89455970661118,99.39516129032258,5,"","",TRUE,"분석 가능","홍대입구역 3번",85.97194388777555,100,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"창덕궁",3110019,"커피-음료",38.02395209580838,32.896652110625915,38.02395209580838,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","국기원",89.2122005988024,74.7005988023952,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"서울국제고등학교",3110020,"한식음식점",34.705228031145715,90.7488986784141,34.705228031145715,"21~24",92.2384701912261,3661.2170595074604,92.2384701912261,5,"","",TRUE,"분석 가능","사근동살곶이상점가",86.49888765294772,77.19688542825361,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"서울국제고등학교",3110020,"분식전문점",42.11886304909561,82.88508557457213,42.11886304909561,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","서울시립대",88.90503875968993,89.66408268733849,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"서울국제고등학교",3110020,"커피-음료",49.25149700598803,88.64628820960698,49.25149700598803,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","서울시립대",88.66953592814372,88.62275449101796,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"서울국제고등학교",3110020,"편의점",14.395886889460154,83,14.395886889460154,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","사근동살곶이상점가",88.33547557840618,36.50385604113111,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"성균관대학교",3110021,"한식음식점",32.03559510567297,81.27753303964758,32.03559510567297,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","노원초등학교",85.8940489432703,82.31368186874305,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"성균관대학교",3110021,"호프-간이주점",26.252505010020037,72.42718446601941,26.252505010020037,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","홍대땡땡거리",85.69639278557113,51.903807615230455,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"성균관대학교",3110021,"커피-음료",43.56287425149701,77.72925764192141,43.56287425149701,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","홍대땡땡거리",88.94086826347306,61.227544910179645,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"경신고등학교",3110022,"한식음식점",18.13125695216908,37.77533039647577,18.13125695216908,"21~24",97.63779527559055,382.8980660617553,97.63779527559055,5,"","",TRUE,"분석 가능","석관고등학교",87.36095661846497,72.63626251390434,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"경신고등학교",3110022,"커피-음료",44.31137724550898,30.71324599708879,44.31137724550898,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","종암중학교",85.9187874251497,86.22754491017965,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"서울대병원",3110023,"한식음식점",71.7463848720801,51.65198237885462,71.7463848720801,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","이수역 5번",83.64154616240268,84.42714126807564,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"서울대병원",3110023,"커피-음료",98.20359281437125,45.70596797671033,98.20359281437125,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","강동성심병원",79.76235029940119,99.55089820359282,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"혜화동주민센터",3110024,"한식음식점",80.64516129032258,32.158590308370044,80.64516129032258,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","광나루역 1번",86.81173526140155,90.87875417130145,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"혜화동주민센터",3110024,"커피-음료",53.59281437125748,25.47307132459971,53.59281437125748,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","광나루역 1번",88.9315119760479,96.25748502994011,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"충신시장옆",3110025,"한식음식점",92.1023359288098,23.348017621145374,92.1023359288098,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","문래역 3번",87.28448275862068,99.33259176863181,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"혜화역 1번",3110027,"한식음식점",8.898776418242491,24.229074889867842,8.898776418242491,"06~11",98.62857142857143,154.84789190706573,98.62857142857143,4,"00~06,21~24","",TRUE,"분석 가능","중랑역 4번",86.65183537263626,87.31924360400444,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"혜화역 1번",3110027,"분식전문점",58.139534883720934,11.491442542787286,58.139534883720934,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","불광역 8번",82.21899224806202,99.48320413436691,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"혜화역 1번",3110027,"호프-간이주점",63.52705410821643,10.679611650485436,63.52705410821643,"뚜렷한 DEAD TIME 없음",0,0,0,2,"06~11,11~14,14~17","",TRUE,"분석 가능","장승배기역 4번",82.45240480961924,95.39078156312625,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"혜화역 1번",3110027,"커피-음료",38.47305389221557,18.777292576419214,38.47305389221557,"06~11",92.63803680981594,153.91076174535374,92.63803680981594,5,"","",TRUE,"분석 가능","계상초등학교",81.3061377245509,59.4311377245509,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"이화달팽이길",3110028,"한식음식점",46.941045606229146,94.60352422907489,46.941045606229146,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","마장역 3번",87.30533926585095,98.66518353726363,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"이화달팽이길",3110028,"호프-간이주점",45.89178356713427,91.45631067961165,45.89178356713427,"뚜렷한 DEAD TIME 없음",0,0,0,3,"06~11,11~14","",TRUE,"분석 가능","보문역 5번",87.18687374749499,77.15430861723446,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"이화달팽이길",3110028,"커피-음료",21.407185628742514,93.15866084425036,21.407185628742514,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","홍대부속여중고앞",88.84730538922156,24.550898203592812,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"이화달팽이길",3110028,"편의점",100,89.5,100,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능",NA,NA,NA,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동대문역 1번",3110029,"한식음식점",38.9321468298109,96.25550660792952,38.9321468298109,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","미아역 5번",91.9980533926585,57.8420467185762,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동대문역 1번",3110029,"분식전문점",75.71059431524549,92.66503667481662,75.71059431524549,"뚜렷한 DEAD TIME 없음",0,0,0,4,"21~24","",TRUE,"분석 가능","미아역 5번",90.76227390180878,95.34883720930233,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동대문역 1번",3110029,"커피-음료",0.5988023952095809,95.19650655021834,0.5988023952095809,"17~21",99.54954954954955,1277.217798396879,99.54954954954955,4,"00~06,21~24","",TRUE,"분석 가능","구산역 1번",87.5374251497006,14.97005988023952,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동대문역 3번",3110030,"한식음식점",94.43826473859845,7.819383259911894,94.43826473859845,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","아현역 1번",87.472191323693,98.99888765294772,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"수족관거리",3110032,"한식음식점",20.800889877641822,5.506607929515418,20.800889877641822,"11~14",91.9732441471572,354.92940602628346,91.9732441471572,5,"","",TRUE,"분석 가능","창신1동주민센터",88.40378197997777,29.254727474972192,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"창신역 4번",3110033,"한식음식점",89.32146829810901,58.14977973568281,89.32146829810901,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","서울북부고용노동지청",86.65183537263626,92.880978865406007,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"창신역 4번",3110033,"호프-간이주점",22.24448897795591,42.52427184466019,22.24448897795591,"뚜렷한 DEAD TIME 없음",0,0,0,3,"06~11,11~14","",TRUE,"분석 가능","서울여자간호대학교",90.34318637274549,57.51503006012024,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"창신1동주민센터",3110034,"한식음식점",29.254727474972192,20.484581497797357,29.254727474972192,"17~21",95.77308120133482,2030.223481126333,95.77308120133482,5,"00~06","",TRUE,"분석 가능","영등포시장역 3번",88.81395995550612,76.0845383759733,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동묘앞역 2번",3110035,"한식음식점",58.509454949944384,72.02643171806167,58.509454949944384,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","굽은다리역 2번",87.72246941045606,78.9766407119021,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동묘앞역 2번",3110035,"분식전문점",12.144702842377262,56.47921760391198,12.144702842377262,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","만리재",91.02067183462532,81.65374677002583,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동묘앞역 2번",3110035,"호프-간이주점",17.43486973947896,59.80582524271845,17.43486973947896,"14~17",94.77124183006535,141.82615583390864,94.77124183006535,4,"11~14","",TRUE,"분석 가능","수유역 2번",89.80460921843687,73.94789579158316,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동묘앞역 2번",3110035,"커피-음료",81.73652694610777,66.95778748180496,81.73652694610777,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","한겨레신문사",86.27432634730539,85.17964071856288,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동묘앞역 3번",3110036,"한식음식점",37.1523915461624,24.559471365638768,37.1523915461624,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","황학동벼룩시장",87.70161290322581,49.49944382647386,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"신설동역 12번",3110037,"한식음식점",19.799777530589544,60.022026431718054,19.799777530589544,"17~21",95.43937708565072,6684.014213616248,95.43937708565072,5,"","",TRUE,"분석 가능","한국폴리텍대학서울정수캠퍼스",87.94493882091213,38.82091212458287,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"신설동역 12번",3110037,"커피-음료",29.790419161676645,55.167394468704515,29.790419161676645,"14~17",91.1676646706587,261.81168314768223,91.1676646706587,3,"00~06,17~21,21~24","",TRUE,"분석 가능","마포역 4번",88.15494011976048,38.17365269461078,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"신설동역 12번",3110037,"편의점",68.89460154241645,38,68.89460154241645,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","방배역 3번",86.87339331619538,87.40359897172236,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"경향신문사",3110038,"한식음식점",89.09899888765295,0.6607929515418502,89.09899888765295,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","강동성심병원",88.18826473859845,96.21802002224695,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"경향신문사",3110038,"분식전문점",94.05684754521964,0,94.05684754521964,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","문정역 1번",84.15697674418605,94.83204134366925,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"경향신문사",3110038,"커피-음료",51.34730538922155,0.5822416302765648,51.34730538922155,"21~24",97.70723104056437,671.3165745975543,97.70723104056437,5,"","",TRUE,"분석 가능","강동성심병원",87.9303892215569,99.55089820359282,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"경향신문사",3110038,"편의점",62.2107969151671,0,62.2107969151671,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","충정로현대아파트",89.68508997429306,87.66066838046272,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"회현역 1번",3110039,"한식음식점",68.40934371523916,4.5154185022026425,68.40934371523916,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","강서구청가양동별관",93.64571746384873,80.53392658509455,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"중구회현체육센터(정화예술대남산캠퍼스)",3110040,"한식음식점",90.65628476084538,5.947136563876652,90.65628476084538,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","충신시장옆",89.1059510567297,92.1023359288098,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"중구회현체육센터(정화예술대남산캠퍼스)",3110040,"커피-음료",73.95209580838323,3.9301310043668125,73.95209580838323,"뚜렷한 DEAD TIME 없음",0,0,0,4,"00~06,21~24","",TRUE,"분석 가능","청와대사랑채",88.31399700598803,97.30538922155688,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"남산케이블카",3110041,"한식음식점",98.10901001112346,18.94273127753304,98.10901001112346,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능",NA,NA,NA,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"남산케이블카",3110041,"커피-음료",17.81437125748503,13.682678311499272,17.81437125748503,"21~24",99.11816578483244,848.4843955328199,99.11816578483244,5,"","",TRUE,"분석 가능","연희파출소",92.34655688622755,37.72455089820359,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"남산케이블카",3110041,"편의점",8.483290488431876,5.5,8.483290488431876,"17~21",96.40102827763496,45430.56180032914,96.40102827763496,5,"","",TRUE,"분석 가능","가양역 10번",88.15874035989717,39.84575835475578,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"남산골공원옆",3110042,"한식음식점",31.70189098998888,23.45814977973568,31.70189098998888,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","연희파출소",91.48359288097888,84.98331479421579,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"충무초등학교",3110043,"한식음식점",4.226918798665183,54.62555066079295,4.226918798665183,"21~24",95.83802024746907,2092.758420316034,95.83802024746907,5,"00~06","",TRUE,"분석 가능","안암역 2번",87.63904338153505,81.86874304783093,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"충무초등학교",3110043,"분식전문점",25.839793281653744,38.63080684596577,25.839793281653744,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","안암역 2번",86.88630490956074,59.43152454780362,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"충무초등학교",3110043,"커피-음료",35.17964071856288,49.053857350800584,35.17964071856288,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","안암역 2번",89.10928143712576,89.82035928143712,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"충무초등학교",3110043,"편의점",67.09511568123393,33.25,67.09511568123393,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","제기동역 1번",90.82583547557842,68.12339331619538,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"관성묘",3110044,"한식음식점",55.506117908787544,9.691629955947137,55.506117908787544,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","회현역 1번",92.99221357063404,68.40934371523916,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동대문역사문화공원역 5번",3110045,"한식음식점",72.96996662958844,24.88986784140969,72.96996662958844,"뚜렷한 DEAD TIME 없음",0,0,0,5,"","",TRUE,"분석 가능","충신시장옆",88.67491657397107,92.1023359288098,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동대문역사문화공원역 5번",3110045,"분식전문점",60.98191214470285,11.98044009779951,60.98191214470285,"뚜렷한 DEAD TIME 없음",0,0,0,5,"00~06","",TRUE,"분석 가능","대방역 3번",87.33850129198966,85.78811369509044,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동대문역사문화공원역 5번",3110045,"호프-간이주점",50.300601202404806,11.067961165048544,50.300601202404806,"뚜렷한 DEAD TIME 없음",0,0,0,4,"06~11","",TRUE,"분석 가능","강동성심병원",92.77304609218437,69.73947895791584,"100 - 16개 상권특성의 평균 절대 백분위 차이"
"동대문역사문화공원역 5번",3110045,"커피-음료",9.880239520958083,19.359534206695777,9.880239520958083,"14~17",98.80239520958084,588.0901150695024,98.80239520958084,4,"00~06,21~24","",TRUE,"분석 가능","베르사이유1아파트",91.45770958083833,49.101796407185624,"100 - 16개 상권특성의 평균 절대 백분위 차이"
